Time_s,Target_X_m,Target_Y_m,Current_X_m,Current_Y_m,Error_X_m,Error_Y_m,Error_Dist_m,PID_Out_X,PID_Out_Y,Normal_X,Normal_Y,Normal_Z,Tilt_Angle_deg,Centered
1.9076,0.0000,0.0000,0.1469,0.1592,-0.1469,-0.1592,0.2166,-0.6619,-0.7177,-0.0591,-0.0641,0.9962,5.00,0
2.1096,0.0000,0.0000,0.1056,0.1603,-0.1056,-0.1603,0.1920,0.1104,-0.0869,0.0685,-0.0539,0.9962,5.00,0
2.3133,0.0000,0.0000,0.1044,0.1502,-0.1044,-0.1502,0.1829,-0.0502,-0.0381,-0.0502,-0.0381,0.9980,3.61,0
2.5156,0.0000,0.0000,0.1041,0.1408,-0.1041,-0.1408,0.1751,-0.0543,-0.0376,-0.0542,-0.0376,0.9978,3.78,0
2.7204,0.0000,0.0000,0.0673,0.1227,-0.0673,-0.1227,0.1399,0.1096,0.0058,0.0870,0.0046,0.9962,5.00,0
2.9215,0.0000,0.0000,0.0238,0.1001,-0.0238,-0.1001,0.1029,0.1581,0.0340,0.0852,0.0184,0.9962,5.00,0
3.1213,0.0000,0.0000,-0.0323,0.0810,0.0323,-0.0810,0.0872,0.2367,0.0289,0.0865,0.0106,0.9962,5.00,0
3.3249,0.0000,0.0000,-0.0478,0.0733,0.0478,-0.0733,0.0875,0.0824,-0.0132,0.0823,-0.0132,0.9965,4.78,0
3.5241,0.0000,0.0000,-0.0333,0.0760,0.0333,-0.0760,0.0829,-0.0450,-0.0567,-0.0449,-0.0566,0.9974,4.15,0
3.7265,0.0000,0.0000,0.0264,0.0893,-0.0264,-0.0893,0.0931,-0.2554,-0.1065,-0.0805,-0.0336,0.9962,5.00,0
3.9277,0.0000,0.0000,0.1199,0.1271,-0.1199,-0.1271,0.1748,-0.4384,-0.2245,-0.0776,-0.0398,0.9962,5.00,0
4.1274,0.0000,0.0000,0.1528,0.1326,-0.1528,-0.1326,0.2024,-0.2135,-0.0990,-0.0791,-0.0367,0.9962,5.00,0
4.3294,0.0000,0.0000,0.1759,0.1187,-0.1759,-0.1187,0.2122,-0.1871,-0.0153,-0.0869,-0.0071,0.9962,5.00,0
4.5349,0.0000,0.0000,0.1556,0.0820,-0.1556,-0.0820,0.1758,-0.0045,0.0941,-0.0042,0.0871,0.9962,5.00,0
4.7433,0.0000,0.0000,0.1256,0.0552,-0.1256,-0.0552,0.1372,0.0480,0.0670,0.0480,0.0669,0.9966,4.72,0
4.9443,0.0000,0.0000,0.0406,0.0174,-0.0406,-0.0174,0.0442,0.3105,0.1298,0.0804,0.0336,0.9962,5.00,0
5.1542,0.0000,0.0000,-0.0364,0.0225,0.0364,-0.0225,0.0428,0.3174,-0.0443,0.0863,-0.0121,0.9962,5.00,0
5.3546,0.0000,0.0000,-0.0659,0.0426,0.0659,-0.0426,0.0785,0.1424,-0.1149,0.0679,-0.0548,0.9962,5.00,0
5.5586,0.0000,0.0000,-0.0890,0.0842,0.0890,-0.0842,0.1225,0.1289,-0.2221,0.0438,-0.0754,0.9962,5.00,0
5.7674,0.0000,0.0000,-0.0620,0.1383,0.0620,-0.1383,0.1516,-0.0844,-0.3006,-0.0236,-0.0839,0.9962,5.00,0
5.9731,0.0000,0.0000,0.0039,0.1614,-0.0039,-0.1614,0.1615,-0.2727,-0.1892,-0.0716,-0.0497,0.9962,5.00,0
6.1674,0.0000,0.0000,0.0479,0.1595,-0.0479,-0.1595,0.1666,-0.2080,-0.0894,-0.0801,-0.0345,0.9962,5.00,0
6.3715,0.0000,0.0000,0.1133,0.1298,-0.1133,-0.1298,0.1723,-0.3268,0.0357,-0.0866,0.0095,0.9962,5.00,0
6.5706,0.0000,0.0000,0.1330,0.0832,-0.1330,-0.0832,0.1569,-0.1550,0.1263,-0.0676,0.0551,0.9962,5.00,0
6.7742,0.0000,0.0000,0.1267,0.0518,-0.1267,-0.0518,0.1368,-0.0484,0.0803,-0.0450,0.0747,0.9962,5.00,0
6.9795,0.0000,0.0000,0.0743,0.0025,-0.0743,-0.0025,0.0744,0.1610,0.1769,0.0587,0.0645,0.9962,5.00,0
7.1811,0.0000,0.0000,-0.0514,-0.0210,0.0514,0.0210,0.0555,0.5180,0.0852,0.0860,0.0142,0.9962,5.00,0
7.3880,0.0000,0.0000,-0.1449,-0.0020,0.1449,0.0020,0.1449,0.4367,-0.0940,0.0852,-0.0184,0.9962,5.00,0
7.5884,0.0000,0.0000,-0.1439,-0.0030,0.1439,0.0030,0.1439,0.0595,-0.0134,0.0595,-0.0134,0.9981,3.49,0
8.1929,0.0000,0.0000,-0.0756,-0.0422,0.0756,0.0422,0.0866,-0.2434,0.1593,-0.0729,0.0478,0.9962,5.00,0
8.3974,0.0000,0.0000,0.0398,-0.0463,-0.0398,0.0463,0.0611,-0.4900,0.0211,-0.0871,0.0038,0.9962,5.00,0
8.5979,0.0000,0.0000,0.1555,-0.0457,-0.1555,0.0457,0.1621,-0.5498,0.0022,-0.0872,0.0004,0.9962,5.00,0
8.8041,0.0000,0.0000,0.1986,-0.0374,-0.1986,0.0374,0.2021,-0.2828,-0.0322,-0.0866,-0.0099,0.9962,5.00,0
9.0107,0.0000,0.0000,0.2344,-0.0255,-0.2344,0.0255,0.2358,-0.2729,-0.0522,-0.0856,-0.0164,0.9962,5.00,0
9.2113,0.0000,0.0000,0.2165,-0.0289,-0.2165,0.0289,0.2184,-0.0509,0.0105,-0.0509,0.0105,0.9987,2.98,0
9.4166,0.0000,0.0000,0.1513,-0.0473,-0.1513,0.0473,0.1585,0.1695,0.0802,0.0788,0.0373,0.9962,5.00,0
9.6167,0.0000,0.0000,0.0976,-0.0616,-0.0976,0.0616,0.1154,0.1498,0.0716,0.0787,0.0376,0.9962,5.00,0
9.8201,0.0000,0.0000,0.0035,-0.0868,-0.0035,0.0868,0.0868,0.3587,0.1283,0.0821,0.0294,0.9962,5.00,0
10.0190,0.0000,0.0000,-0.0439,-0.0879,0.0439,0.0879,0.0983,0.1957,0.0334,0.0859,0.0147,0.9962,5.00,0
10.2223,0.0000,0.0000,-0.0515,-0.0763,0.0515,0.0763,0.0920,0.0403,-0.0232,0.0403,-0.0232,0.9989,2.67,0
10.4229,0.0000,0.0000,-0.0219,-0.0449,0.0219,0.0449,0.0499,-0.1225,-0.1174,-0.0630,-0.0603,0.9962,5.00,0
10.6212,0.0000,0.0000,0.0502,-0.0070,-0.0502,0.0070,0.0507,-0.3295,-0.1623,-0.0782,-0.0386,0.9962,5.00,0
10.8335,0.0000,0.0000,0.0928,0.0029,-0.0928,-0.0029,0.0929,-0.2332,-0.0554,-0.0848,-0.0202,0.9962,5.00,0
11.0315,0.0000,0.0000,0.1382,-0.0143,-0.1382,0.0143,0.1389,-0.2679,0.0621,-0.0849,0.0197,0.9962,5.00,0
11.2328,0.0000,0.0000,0.1259,-0.0648,-0.1259,0.0648,0.1416,-0.0321,0.2205,-0.0126,0.0862,0.9962,5.00,0
11.4331,0.0000,0.0000,0.0920,-0.1027,-0.0920,0.1027,0.1379,0.0704,0.1902,0.0303,0.0818,0.9962,5.00,0
11.6363,0.0000,0.0000,0.0096,-0.1449,-0.0096,0.1449,0.1452,0.3059,0.2295,0.0697,0.0523,0.9962,5.00,0
11.8429,0.0000,0.0000,-0.0803,-0.1327,0.0803,0.1327,0.1551,0.3808,0.0065,0.0871,0.0015,0.9962,5.00,0
12.0439,0.0000,0.0000,-0.1250,-0.1054,0.1250,0.1054,0.1635,0.2239,-0.0662,0.0836,-0.0248,0.9962,5.00,0
12.4445,0.0000,0.0000,-0.1460,0.0239,0.1460,-0.0239,0.1479,0.1404,-0.5396,0.0220,-0.0844,0.9962,5.00,0
12.6427,0.0000,0.0000,-0.1222,0.0845,0.1222,-0.0845,0.1485,-0.0498,-0.2952,-0.0145,-0.0859,0.9962,5.00,0
12.8475,0.0000,0.0000,-0.0282,0.1480,0.0282,-0.1480,0.1507,-0.3772,-0.3400,-0.0648,-0.0584,0.9962,5.00,0
13.0458,0.0000,0.0000,0.0946,0.1713,-0.0946,-0.1713,0.1957,-0.5544,-0.1920,-0.0824,-0.0286,0.9962,5.00,0
13.2522,0.0000,0.0000,0.1529,0.1627,-0.1529,-0.1627,0.2233,-0.3271,-0.0615,-0.0857,-0.0161,0.9962,5.00,0
13.4595,0.0000,0.0000,0.2222,0.1188,-0.2222,-0.1188,0.2520,-0.4072,0.1008,-0.0846,0.0210,0.9962,5.00,0
13.6618,0.0000,0.0000,0.2388,0.0460,-0.2388,-0.0460,0.2432,-0.2066,0.2528,-0.0552,0.0675,0.9962,5.00,0
13.8626,0.0000,0.0000,0.2091,-0.0104,-0.2091,0.0104,0.2094,-0.0079,0.2150,-0.0032,0.0871,0.9962,5.00,0
14.0624,0.0000,0.0000,0.1478,-0.0457,-0.1478,0.0457,0.1547,0.1478,0.1486,0.0615,0.0618,0.9962,5.00,0
14.2626,0.0000,0.0000,0.0461,-0.0578,-0.0461,0.0578,0.0740,0.3600,0.0629,0.0859,0.0150,0.9962,5.00,0
14.4643,0.0000,0.0000,-0.0777,-0.0178,0.0777,0.0178,0.0798,0.5112,-0.1661,0.0829,-0.0270,0.9962,5.00,0
14.6669,0.0000,0.0000,-0.1333,0.0385,0.1333,-0.0385,0.1387,0.2667,-0.2595,0.0625,-0.0608,0.9962,5.00,0
14.8659,0.0000,0.0000,-0.1389,0.0628,0.1389,-0.0628,0.1524,0.0706,-0.1441,0.0384,-0.0783,0.9962,5.00,0
15.0685,0.0000,0.0000,-0.1271,0.1148,0.1271,-0.1148,0.1713,-0.0036,-0.2816,-0.0011,-0.0871,0.9962,5.00,0
15.2703,0.0000,0.0000,-0.0739,0.1310,0.0739,-0.1310,0.1504,-0.1957,-0.1477,-0.0696,-0.0525,0.9962,5.00,0
15.4754,0.0000,0.0000,-0.0176,0.1334,0.0176,-0.1334,0.1346,-0.2355,-0.0947,-0.0809,-0.0325,0.9962,5.00,0
15.6773,0.0000,0.0000,0.0374,0.0834,-0.0374,-0.0834,0.0914,-0.2586,0.1394,-0.0767,0.0414,0.9962,5.00,0
15.8820,0.0000,0.0000,0.0615,0.0142,-0.0615,-0.0142,0.0632,-0.1475,0.2507,-0.0442,0.0751,0.9962,5.00,0
16.0816,0.0000,0.0000,0.0546,-0.0253,-0.0546,0.0253,0.0601,-0.0200,0.1517,-0.0114,0.0864,0.9962,5.00,0
16.2873,0.0000,0.0000,-0.0046,-0.0818,0.0046,0.0818,0.0819,0.2185,0.2488,0.0576,0.0655,0.9962,5.00,0
16.4899,0.0000,0.0000,-0.1030,-0.0938,0.1030,0.0938,0.1393,0.4250,0.0775,0.0857,0.0157,0.9962,5.00,0
16.6986,0.0000,0.0000,-0.1619,-0.0766,0.1619,0.0766,0.1791,0.2981,-0.0473,0.0861,-0.0137,0.9962,5.00,0
17.1006,0.0000,0.0000,-0.2317,0.0579,0.2317,-0.0579,0.2388,0.3780,-0.5843,0.0474,-0.0732,0.9962,5.00,0
